width,length,type,region,model,height-min,height-max,stories,shape,library,tags
18.0,07.0,residential,,objects/Blacky75/New-Black/RES_18x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
18.0,07.0,residential,,objects/Blacky75/New-Black/RES_18x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
18.0,07.0,residential,,objects/Blacky75/New-Black/RES_18x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
18.0,07.0,residential,,objects/Blacky75/New-Black/RES_18x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
19.0,07.0,residential,,objects/Blacky75/New-Black/RES_19x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
19.0,07.0,residential,,objects/Blacky75/New-Black/RES_19x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
19.0,07.0,residential,,objects/Blacky75/New-Black/RES_19x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
19.0,07.0,residential,,objects/Blacky75/New-Black/RES_19x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
20.0,07.0,residential,,objects/Blacky75/New-Black/RES_20x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
20.0,07.0,residential,,objects/Blacky75/New-Black/RES_20x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
20.0,07.0,residential,,objects/Blacky75/New-Black/RES_20x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
20.0,07.0,residential,,objects/Blacky75/New-Black/RES_20x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new

5.0,6.0,residential,,objects/Blacky75/New-Black/RES_06x05_TypeNew1_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
5.0,6.0,residential,,objects/Blacky75/New-Black/RES_06x05_TypeNew1_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
5.0,6.0,residential,,objects/Blacky75/New-Black/RES_06x05_TypeNew1_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
5.0,6.0,residential,,objects/Blacky75/New-Black/RES_06x05_TypeNew1_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
6.0,6.0,residential,,objects/Blacky75/New-Black/RES_06x06_TypeNew1_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
6.0,6.0,residential,,objects/Blacky75/New-Black/RES_06x06_TypeNew1_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
6.0,6.0,residential,,objects/Blacky75/New-Black/RES_06x06_TypeNew1_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
6.0,6.0,residential,,objects/Blacky75/New-Black/RES_06x06_TypeNew1_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
5.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x05_TypeNew1_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
5.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x05_TypeNew1_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
5.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x05_TypeNew1_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
5.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x05_TypeNew1_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
6.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x06_TypeNew1_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
6.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x06_TypeNew1_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
6.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x06_TypeNew1_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
6.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x06_TypeNew1_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
7.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x07_TypeNew1_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
7.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x07_TypeNew1_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
7.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x07_TypeNew1_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
7.0,7.0,residential,,objects/Blacky75/New-Black/RES_07x07_TypeNew1_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
8.0,5.0,residential,,objects/Blacky75/New-Black/RES_08x05_TypeNew1_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
8.0,5.0,residential,,objects/Blacky75/New-Black/RES_08x05_TypeNew1_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
8.0,5.0,residential,,objects/Blacky75/New-Black/RES_08x05_TypeNew1_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
